지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 마포구 동교동 166-6,서울특별시 마포구 양화로 176 (동교동),4051.0,롯데시네마 홍대입구점,126.924986220455,37.5572467836494
서울특별시 마포구 동교동 166-14 동교동 스타피카소,"서울특별시 마포구 양화로 176, 2관 8층 (동교동)",4051.0,독립영화전용관 인디스페이스,,
서울특별시 마포구 동교동 167-2 LC TOWER,"서울특별시 마포구 양화로 186, LC TOWER 7~10층 (동교동)",4051.0,CGV 연남점,126.92589313527,37.5576684824211
서울특별시 마포구 서교동 490 메세나폴리스 2층,"서울특별시 마포구 양화로 45, 2층 (서교동, 메세나폴리스)",4036.0,롯데시네마 합정점,126.91395024016,37.5515008030203
서울특별시 마포구 서교동 367-5 상상마당빌딩,"서울특별시 마포구 어울마당로 65, 상상마당빌딩 지하3층, 4층 (서교동)",4042.0,KT&G 상상마당 cinema,126.921063042067,37.5509576951977
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",3932.0,메가박스중앙 상암월드컵경기장지점,126.897273034482,37.5682884450841
서울특별시 서대문구 대신동 85 하늬솔빌딩,"서울특별시 서대문구 성산로 527, 하늬솔빌딩 A동 B1층 (대신동)",3721.0,필름포럼,126.944090214952,37.5637750959193
서울특별시 서대문구 창천동 20-25,"서울특별시 서대문구 신촌로 129, 9층 (창천동, 아트레온)",3780.0,CGV 신촌아트레온점,126.940328119434,37.5565639285478
서울특별시 서대문구 신촌동 74-12,서울특별시 서대문구 신촌역로 30 (신촌동),,메가박스중앙 신촌지점,126.942386979371,37.5598241279561
서울특별시 서대문구 연희동 194-25,"서울특별시 서대문구 연희로8길 18, 지하1층동 (연희동)",3726.0,라이카시네마,126.930936157626,37.5651674709792
"서울특별시 서대문구 대현동 11-1번지 이화캠퍼스복합단지 지하 4,5층 ","서울특별시 서대문구 이화여대길 52 (대현동,이화캠퍼스복합단지 지하 4,5층)",,아트하우스 모모-이화·KB 시네마,126.950288837762,37.5644645178259
"서울특별시 서초구 서초동 1317-20 아라타워, 9층 ","서울특별시 서초구 서초대로77길 3, 아라타워 9층 (서초동)",6615.0,메가박스중앙 강남점,127.026504807476,37.4980609129976
"서울특별시 서초구 반포동 19-3 센트럴시티, 지하1층 ","서울특별시 서초구 신반포로 176, 센트럴시티 지하1층 (반포동)",6546.0,메가박스중앙 센트럴 더부티크,127.002413006799,37.5039351769908
서울특별시 서초구 서초동 1335 서초그랑자이,"서울특별시 서초구 효령로 391, B2층 (서초동, 서초그랑자이)",6630.0,CGV Salon 서초점,127.024591003338,37.4893225494193
