id,type,code,name,latitude,longitude
25920,subway,S1916TRSU212,07호선 신풍역,37.5002896,126.909384
25921,subway,S2405TRSU213,06호선 봉화산역,37.6175015,127.090943
25922,subway,S2401TRSU214,경춘선 신내역,37.6126888,127.103803
25923,subway,S2405TRSU215,06호선 신내역,37.6124424,127.107314
25924,subway,S2332TRSU216,06호선 버티고개역,37.5484205,127.00721
25925,subway,S2374TRSU217,06호선 신당역,37.5674758,127.016075
25926,subway,S2332TRSU218,02호선 신당역,37.5653214,127.022266
25927,subway,S2332TRSU219,03호선 약수역,37.5544299,127.010968
25928,subway,S2332TRSU220,06호선 약수역,37.5547453,127.01047
25929,subway,S2332TRSU221,05호선 청구역,37.5603311,127.013855
25930,subway,S2332TRSU222,06호선 청구역,37.5603311,127.013855
25931,subway,S1108TRSU223,신림선 보라매공원역,37.4926473,126.919096
25932,subway,S1108TRSU224,신림선 보라매병원역,37.491615,126.924751
25933,subway,S1108TRSU225,02호선 신대방역,37.4875342,126.912939
25934,subway,S0606TRSU226,02호선 도림천역,37.5143486,126.882843
25935,subway,S0606TRSU227,01호선 신도림역,37.5087254,126.891085
25936,subway,S0606TRSU228,02호선 신도림역,37.5087254,126.891085
25937,subway,S0503TRSU229,신림선 관악산역,37.4688941,126.945099
25938,subway,S0503TRSU230,신림선 서울대벤처타운역,37.472186,126.934097
25939,subway,S0503TRSU231,신림선 서원역,37.4782131,126.933052
25940,subway,S0503TRSU232,신림선 신림역,37.4840126,126.927981
25941,subway,S0503TRSU233,02호선 신림역,37.4840126,126.927981
25942,subway,S0108TRSU234,03호선 신사역,37.5209301,127.018283
25943,subway,S0110TRSU235,신분당선 신사역,37.4910143,127.031596
25944,subway,S0108TRSU236,03호선 압구정역,37.5239556,127.028318
25945,subway,S2107TRSU237,06호선 새절(신사)역,37.5911398,126.91327
25946,subway,S2107TRSU238,06호선 응암역,37.59879,126.914461
25947,subway,S1002TRSU239,02호선 신설동역,37.576646,127.02665
25948,subway,S1002TRSU240,우이신설경전철 신설동역,37.5765566,127.023208
25949,subway,S1002TRSU241,01호선 신설동역,37.576646,127.02665
25950,subway,S1405TRSU242,신분당선 청계산입구역,37.4483975,127.054792
25951,subway,S1803TRSU243,05호선 신정역,37.5249864,126.855947
25952,subway,S1803TRSU244,02호선 신정네거리역,37.5197479,126.852971
25953,subway,S1803TRSU245,02호선 양천구청역,37.5126366,126.865981
25954,subway,S1709TRSU246,08호선 몽촌토성역,37.5172938,127.111704
25955,subway,S1711TRSU247,02호선 잠실(송파구청)역,37.5174028,127.076163
25956,subway,S1709TRSU248,08호선 잠실(송파구청)역,37.514958,127.104133
25957,subway,S1709TRSU249,02호선 잠실나루역,37.5204723,127.103914
25958,subway,S1309TRSU250,경의선 신촌역,37.5597128,126.941194
25959,subway,S1217TRSU251,02호선 아현역,37.5547372,126.956601
25960,subway,S1217TRSU252,05호선 애오개역,37.5533496,126.95659
25961,subway,S2245TRSU253,03호선 안국역,37.5762061,126.984651
25962,subway,S1635TRSU254,06호선 안암(고대병원앞)역,37.5860788,127.029348
25963,subway,S0208TRSU255,08호선 암사역,37.5511547,127.128185
25964,subway,S0109TRSU256,수인분당선 압구정로데오역,37.529421,127.04124
25965,subway,S1406TRSU257,신분당선 양재시민의숲역,37.4698928,127.038314
25966,subway,S1919TRSU258,05호선 양평역,37.5256678,126.885517
25967,subway,S1922TRSU259,09호선 선유도역,37.538028,126.89352
25968,subway,S1925TRSU260,09호선 국회의사당역,37.5273714,126.918537
25969,subway,S1925TRSU261,09호선 샛강역,37.5170894,126.929838
25970,subway,S1925TRSU262,신림선 샛강역,37.5175133,126.930437
