정류장명,위도,경도
성균관대학교,37.586047,126.996857
참샘골공원,37.614612,126.974255
활터앞,37.57681261,126.9653294
종로5가.3번출구,37.57141925,127.0020898
인사동들머리.3.1독립선언터,37.57194702,126.983297
정독도서관,37.580262,126.980074
오거리.한옥마을입구,37.57946844,126.9697393
평창공원지킴터입구,37.6163964,126.9757439
창경궁.고궁호텔.메이플레이스호텔,37.57655816,126.9974492
광화문,37.570337,126.975569
종로1가,37.57037,126.980129
종로2가,37.570083,126.986463
종로3가,37.570635,126.99321
종로3가,37.57010243,126.9909932
종로4가,37.57047,126.996252
동대문종합시장종로6가,37.570862,127.003292
종로도서관,37.57648423,126.9671252
경복궁역,37.57617809,126.9715056
경복궁역,37.575816,126.97168
안국역,37.57661375,126.9852296
안국역,37.57631851,126.985506
창덕궁,37.577519,126.988901
성대입구,37.583283,126.999229
종로사우나,37.57380111,126.9877504
엄마분식,37.60124243,126.9557163
삼청파출소,37.58164517,126.9813258
통인시장.종로구보건소,37.58033503,126.9687505
종로5가역,37.57067136,127.0000249
평창동산림제3초소,37.617356,126.977104
배화여중고,37.57675563,126.9678157
대학로입구.이화사거리,37.57598417,127.0025802
운현궁,37.57527161,126.9869814
상명대입구,37.60002101,126.9569583
삼청동주민센터,37.58468468,126.9822105
박노수미술관,37.58102656,126.9668945
김창열.윤명로화실,37.616305,126.9783685
사직공원.경복궁역입구,37.57622069,126.9689039
충신시장,37.57497665,127.0054049
안국역2번출구앞,37.57717282,126.9861183
금융연수원,37.58587767,126.9818479
감람산기도원,37.61594393,126.979873
카센터.터널앞,37.57416446,126.9658593
재동초등학교,37.57879109,126.9853617
삼청공원삼거리.옥호정터,37.58741852,126.9817445
이화사거리,37.57532007,127.0022813
연화정사,37.614649,126.9794938
대신중고,37.57261781,126.9616893
현대사거리,37.579306,126.987
교남동주민센터,37.5721523,126.96128
부암동주민센터.무계원,37.59293534,126.9637682
형제봉입구,37.61286432,126.9816862
교남동새마을금고,37.57149436,126.9623375
창신초교,37.57603721,127.0157201
가회동주민센터,37.57994265,126.9851294
볼링장,37.579317,126.98817
부암슈퍼,37.59476007,126.9638602
지구촌교회,37.613106,126.979238
월암공원,37.571226,126.964693
숭인1동주민센터,37.577415,127.0155607
북촌한옥마을입구.정세권활동터,37.58128077,126.9851687
하림각,37.59768473,126.9629664
보현빌라,37.615382,126.978421
스위스대사관,37.570137,126.965696
안국선원.삼거리,37.58274325,126.9852205
세검정교회,37.599386,126.960029
혜화동로터리,37.58591961,127.0010032
김종영미술관,37.61326379,126.9781123
서울시교육청,37.569383,126.966702
창신쌍용1단지.종로센트레빌아파트,37.58032282,127.0155693
사우디대사관,37.58386331,126.9852486
상명대입구,37.59985447,126.9574023
혜화초등학교,37.58738929,126.9999909
강북삼성병원,37.56853152,126.9683377
청룡사.보문파크뷰자이아파트,37.57978465,127.0171509
감사원,37.58626565,126.9855618
국민생활관,37.5896276,126.9993138
종로센트레빌후문.e편한세상보문아파트,37.581911,127.015935
통일부,37.58753085,126.9861073
서울국제고등학교,37.58907429,126.9971408
성대후문.와룡공원,37.58915228,126.989734
상명초등학교,37.60090493,126.9568174
새마을금고,37.58784069,126.996569
경진빌라,37.60186409,126.9579482
명륜시장.성대후문,37.58872461,126.9952305
완성빌라,37.60333997,126.9576665
양현관,37.589768,126.9937686
상명대후문,37.60407158,126.9574634
샘미용실,37.59025457,126.9934084
산정빌라,37.60528358,126.9575782
구기빌라,37.60613345,126.9579809
마트앞,37.60669871,126.9587565
국민은행.세검정지점,37.604952,126.960876
혜화역4번출구,37.583509,127.001555
방송통신대앞,37.57869736,127.0019927
서울대치과대학,37.577411,126.997802
효제초교.연동교회.김마리아활동터,37.57364134,127.0022088
성균관대학교,37.58846387,126.9900036
독립문역,37.57328385,126.9594078
서울대치과대학,37.577572,126.99787
이화사거리,37.57694834,127.0020085
서울대학교병원현관.암병원현관,37.57895147,126.9981568
종각.공평유적전시관,37.57159379,126.9832427
조계사,37.57360211,126.9831364
동대문역JW메리어트동대문호텔,37.570859,127.009186
대학로,37.58189612,127.0021204
창경궁,37.57915963,126.9964163
창덕궁,37.57753017,126.9901776
인사동.북촌,37.57589502,126.9837978
경복궁.국립민속박물관,37.5794474,126.9794465
세종문화회관,37.573219,126.977004
통인시장,37.57911876,126.9713316
세종문화회관,37.573219,126.977017
종각역,37.56937996,126.9828944
인사동.탑골공원,37.57011554,126.9888006
종묘.세운상가,37.57035485,126.9935557
광장시장,37.57062373,126.9996734
동묘.숭인동도깨비시장,37.5734766,127.0180439
서울풍물시장,37.57334003,127.0231781
청와대,37.58268481,126.97376
남대문세무서.서울백병원,37.56498481,126.9875299
서울백병원.국가인권위.안중근활동터,37.56435047,126.9878515
서울역버스환승센터,37.55514602,126.9722571
서울역버스환승센터,37.55538899,126.9725951
서울역버스환승센터,37.5553877,126.9727617
서울역버스환승센터,37.55547941,126.9728548
