지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 성동구 성수동2가 277-156 승림빌딩,"서울특별시 성동구 아차산로 137, 승림빌딩 지층 (성수동2가)",4797,SL스크린골프연습장,127.059367735654,37.5438107208854
서울특별시 성동구 옥수동 436 극동그린아파트,"서울특별시 성동구 독서당로 173, 극동그린아파트상가 지하1층 (옥수동)",4732,PGA골프클럽,127.010900872837,37.5415625512366
서울특별시 성동구 옥수동 474,"서울특별시 성동구 독서당로 166, B201호 (옥수동, 성원상떼뷰)",4736,(주)옥수 투엑스 휘트니스,127.011698447614,37.5406062437899
서울특별시 성동구 성수동1가 706 쌍용아파트,"서울특별시 성동구 상원길 63, A동 지하1층 01호 (성수동1가, 쌍용아파트)",4788,노블 휘트니스,127.047109026111,37.5501345022163
서울특별시 성동구 행당동 147-1 147-1번지 삼부아파트 상가 202호 지층,"서울특별시 성동구 왕십리로 280, 지하202호 (행당동, 행당동삼부아파트)",4751,임페리얼골프아카데미,127.038017800199,37.5602047159985
서울특별시 성동구 응봉동 191-15,서울특별시 성동구 독서당로62길 20 (응봉동),4742,응봉실내골프연습장,127.032759425006,37.5501061084287
서울특별시 성동구 하왕십리동 1061 왕십리풍림아이원,"서울특별시 성동구 난계로 84 (하왕십리동, 왕십리풍림아이원)",4712,풍림휘트니스,127.024079949145,37.5591314196289
서울특별시 성동구 금호동4가 548-1,서울특별시 성동구 독서당로 302 (금호동4가),4737,혜성스크린골프,127.02273086562,37.5476110768479
서울특별시 성동구 성수동2가 231-1 성동마트,"서울특별시 성동구 뚝섬로 447, 성동마트 B1층 (성수동2가)",4786,은성스크린골프,127.060320898744,37.5378360688723
서울특별시 성동구 성수동2가 573-7 지하1층,"서울특별시 성동구 성덕정길 127, B1층 (성수동2가)",4777,B.J 골프 아카데미,127.057492321951,37.5367759212708
서울특별시 성동구 마장동 773-1,서울특별시 성동구 마장로 289 (마장동),4756,휴골프존,127.041663337153,37.565880394005
서울특별시 성동구 행당동 140 행당동 레몬프라자,"서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 803호 (행당동)",4745,레몬골프 스크린골프존,127.035482520519,37.5582206987955
서울특별시 성동구 마장동 517 동방빌딩,"서울특별시 성동구 고산자로 300, 동방빌딩 지하1층 (마장동)",4749,동방스크린골프,127.037028333194,37.5662930631564
서울특별시 성동구 하왕십리동 700,"서울특별시 성동구 왕십리로 410, I동 104~106호 (하왕십리동, 센트라스)",4701,센트라스 골프존,127.024082467223,37.5666029325047
서울특별시 성동구 금호동1가 633번지 벽산하이피아 217호,"서울특별시 성동구 금호로 102, 217호 (금호동1가, 벽산하이피아)",4718,식스팀골프&휘트니스,127.026272753093,37.5516094238096
서울특별시 성동구 행당동 168-151 왕십리민자역사,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 6층 (행당동)",4750,돔골프,127.038394194396,37.5614417528647
서울특별시 성동구 성수동1가 14-30 두루지기시스템,"서울특별시 성동구 상원길 36, 두루지기시스템 지하1층 (성수동1가)",4790,골프존 성수센터,127.048748722841,37.5472488391521
서울특별시 성동구 마장동 776-3,"서울특별시 성동구 마장로 260, 동우빌딩 101,102호 (마장동)",4759,태종 스크린 골프,127.038642010346,37.5655016517351
서울특별시 성동구 성수동1가 685-54 성수 그린빌,"서울특별시 성동구 서울숲길 54, 성수 그린빌 지층 (성수동1가)",4768,서울숲골프아카데미,127.043580039284,37.5479284109517
서울특별시 성동구 성수동2가 339-1 성수동빌딩,"서울특별시 성동구 뚝섬로 389, 성수동빌딩 지하1층 (성수동2가)",4781,인조이골프스쿨,127.054046797015,37.5392430453982
서울특별시 성동구 행당동 347 행당동 대림아파트,"서울특별시 성동구 행당로 75, 행당동 대림아파트 6층 (행당동)",4713,고릴라 멀티짐,127.027520677046,37.556602469483
서울특별시 성동구 성수동2가 281-12 에딘버그골프연습장,"서울특별시 성동구 광나루로 320-1, 에딘버그골프연습장 (성수동2가)",4799,에딘버그골프스쿨,127.065428827768,37.5473266400059
서울특별시 성동구 행당동 168-151번지,"서울특별시 성동구 왕십리광장로 17, 8층 (행당동)",4750,돔 스크린 골프,127.038394194396,37.5614417528647
서울특별시 성동구 성수동2가 320-3,"서울특별시 성동구 성수이로7가길 14, 드림힐2 (성수동2가)",4781,드림힐 골프존,127.05538205511,37.5413692368868
서울특별시 성동구 성수동2가 834번지 성수동아이파크,"서울특별시 성동구 성수이로 137, 지하1층 101호 (성수동2가, 성수동아이파크)",4795,QED 골프아카데미 성수,127.056473146865,37.547925110995
서울특별시 성동구 옥수동 250-7 옥수삼성아파트 상가,"서울특별시 성동구 한림말길 31, 옥수삼성아파트 상가 B1층 01호 (옥수동)",4735,삼성스크린골프(옥수점),127.014589206454,37.5410795776673
서울특별시 성동구 성수동1가 656-320 동아아파트,"서울특별시 성동구 왕십리로 80-1, 동아아파트 (성수동1가)",4778,워터파크골프스쿨,127.045338933792,37.5440341715304
서울특별시 성동구 행당동 319-39 행당빌딩,"서울특별시 성동구 고산자로10길 8, 행당빌딩 지층 (행당동)",4745,무학골프존,127.034996832597,37.5586125973163
서울특별시 성동구 응봉동 228-12,서울특별시 성동구 고산자로 132 (응봉동),4747,대림골프스쿨,127.03542078668,37.551893821661
서울특별시 성동구 금호동4가 800 금호동 대우아파트 505호,"서울특별시 성동구 독서당로 270, 금호동 대우아파트 505호 (금호동4가)",4738,월드실내골프연습장,127.019481520634,37.5466437145234
서울특별시 성동구 용답동 235-2 금풍빌딩 B201호,"서울특별시 성동구 천호대로 432, B201호 (용답동, 금풍빌딩)",4808,E·O·S 골프아카데미,127.066853634442,37.5607509779782
서울특별시 성동구 성수동1가 13-443,"서울특별시 성동구 상원길 60, 지층 (성수동1가)",4791,상원골프장,127.048116376537,37.5493568947722
서울특별시 성동구 금호동1가 632 벽산아파트(종합사회복지관상가),"서울특별시 성동구 행당로6길 2, 벽산아파트(종합사회복지관상가) 지층 01호 (금호동1가)",4718,드림 골프클럽,127.025371864252,37.5553937219904
서울특별시 성동구 응봉동 275 신동아아파트,"서울특별시 성동구 독서당로 375, 지하1층 101호 (응봉동, 신동아아파트)",4720,헤드골프클럽,127.029000872671,37.5495375702385
서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, 107~110호 (하왕십리동, 센트라스)",4701,키움골프GDR아카데미 센트라스점,,
서울특별시 성동구 용답동 182-11,서울특별시 성동구 자동차시장길 42 (용답동),4806,코오롱글로벌(주)스포렉스 용답점,127.055728563825,37.5598101660195
서울특별시 성동구 성수동1가 33-5 지하층,"서울특별시 성동구 뚝섬로5길 11, 지하층 (성수동1가)",4780,GDR 골프아카데미 성수,127.050625195937,37.5411137761786
서울특별시 성동구 홍익동 297 대명빌딩,"서울특별시 성동구 무학로8길 12, 대명빌딩 (홍익동)",4707,S골프존(에스골프존),127.032023654522,37.5655151651894
서울특별시 성동구 성수동1가 685-696번지 갤러리아 포레 B113-1호,"서울특별시 성동구 서울숲2길 32-14, B1층 B113-1호 (성수동1가, 갤러리아 포레)",4769,문스골프클럽,127.042914714267,37.5456773286722
서울특별시 성동구 마장동 517 동방빌딩 지하1층,"서울특별시 성동구 고산자로 300, 동방빌딩 지하1층 (마장동)",4749,GDR 실내골프연습장,127.037028333194,37.5662930631564
서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, i동 114,115,135호 (하왕십리동, 센트라스)",4701,더블원골프 아카데미 센트라스점,127.024082467223,37.5666029325047
서울특별시 성동구 성수동2가 300-6 삼원빌딩,"서울특별시 성동구 성수일로8길 42, 삼원빌딩 2층 201호 (성수동2가)",4794,(주)해내,127.055044848674,37.5453527128383
서울특별시 광진구 구의동 200-1 지하1층,"서울특별시 광진구 광나루로 606, 지하1층 (구의동)",5034,마인핏(리디자인골프),127.095126583076,37.5413562523983
서울특별시 광진구 군자동 360-10번지 지층1호,,,MG골프연습장(7타석),,
