파출소명,경도,위도
시흥3치안센터,126.9026278,37.44576842
신독산치안센터,,
하계1치안센터,127.0724702,37.63329159
월계치안센터,127.0514227,37.61001392
월계2치안센터,127.0724702,37.63329159
월계3치안센터,127.0724702,37.63329159
공릉치안센터,127.0724702,37.63329159
공릉2치안센터,127.0866283,37.62263599
중계본치안센터,,
상계4치안센터,,
상계8치안센터,,
방학2치안센터,127.0306643,37.66287293
답십리1치안센터,127.056811,37.56466269
답십리2치안센터,127.0733168,37.56784672
신설치안센터,,
용두치안센터,127.056811,37.56466269
장안1차치안센터,,
전농4치안센터,127.0733168,37.56784672
남장안치안센터,,
장안3치안센터,127.0733168,37.56784672
이문2치안센터,,
휘경2치안센터,127.0514227,37.61001392
노들치안센터,,
흑석2치안센터,,
상도2치안센터,126.939116,37.50416296
상도3치안센터,126.9205764,37.4985522
상도4치안센터,126.939116,37.50416296
상도5치안센터,126.939116,37.50416296
사당3치안센터,126.9869284,37.49090881
사당4치안센터,126.9869284,37.49090881
사당5치안센터,126.9869284,37.49090881
신대방2치안센터,126.9245256,37.49840342
아현치안센터,126.9553784,37.56245147
도화치안센터,126.656707,37.46708555
대흥치안센터,126.7925495,36.60584452
노고산치안센터,126.9346987,37.55449325
서교치안센터,126.9286583,37.5572378
동교치안센터,126.9286583,37.5572378
망원2치안센터,126.9037404,37.56162779
반포치안센터,127.0138721,37.5149944
잠원치안센터,127.0138721,37.5149944
방서치안센타,127.0044592,37.48236068
우면치안센터,127.027172,37.47184826
방배3치안센터,126.9869284,37.49090881
염곡치안센터,127.027172,37.47184826
구반포치안센터,126.9869284,37.49090881
방배4치안센터,126.9869284,37.49090881
동마치안센터,,
마장치안센터,127.4500997,37.22325632
뚝섬치안센터,127.0443394,37.54645977
성수1치안센터,127.0443394,37.54645977
하왕치안센터,,
금남치안센터,127.2043331,36.49676043
보문치안센터,128.5111946,36.66311704
삼선치안센터,127.0135003,37.58620575
길음1치안센터,127.0250321,37.60389934
정릉1치안센터,127.0153698,37.60387937
정릉3치안센터,127.0250321,37.60389934
정릉4치안센터,127.0250321,37.60389934
성북1치안센터,127.0250321,37.60389934
석관1치안센터,127.0514227,37.61001392
장위1치안센터,127.0514227,37.61001392
장위2치안센터,127.0514227,37.61001392
월곡2치안센터,127.1292854,37.03922604
길음2치안센터,,
종암2치안센터,127.0250321,37.60389934
송파1치안센터,127.1093443,37.50635263
잠실치안센터,127.1093443,37.50635263
잠실5치안센터,127.0592782,37.5100077
석촌치안센터,127.1093443,37.50635263
가락2치안센터,127.1323843,37.49321762
문정2치안센터,127.1323843,37.49321762
마천1치안센터,,
풍납1치안센터,,
월드치안센터,,
장지치안센터,127.1323843,37.49321762
목6치안센터,,
목2치안센터,,
목4치안센터,,
목제1동치안센터,,
신정2치안센터,,
신월4치안센터,,
신월3치안센터,,
영등포2치안센터,126.8987213,37.49342858
도림치안센터,126.9047076,37.50953994
신길3치안센터,126.9047076,37.50953994
신길5치안센터,126.9077814,37.50065126
양평2치안센터,126.8965073,37.55394518
신사1치안센터,126.9179454,37.6044429
증산치안센터,128.036338,35.90160214
수색치안센터,126.9037404,37.56162779
응암1치안센터,126.9179454,37.6044429
응암4치안센터,126.9179454,37.6044429
역촌1치안센터,126.9179454,37.6044429
불광1치안센터,126.9329269,37.61830237
불광2치안센터,126.9329269,37.61830237
구산치안센터,126.9179454,37.6044429
갈현치안센터,126.9329269,37.61830237
신도치안센터,126.9312811,37.63431015
상림치안센터,126.9290194,37.64425568
망우1치안센터,,
망우3치안센터,127.0866283,37.62263599
면목4치안센터,127.0841733,37.58318882
면목7치안센터,127.0841733,37.58318882
면목2치안센터,127.0841733,37.58318882
면목1치안센터,127.0841733,37.58318882
중화1치안센터,,
