type,자치구,법정동,지번주소,월세(만원),보증금(만원),관리비(만원),면적,층수,위도,경도,주실 방향,주차,난방시설,엘리베이터,생활시설,안전시설,법정동_정제,행정동,행정동_정제
원룸,서울 관악구,신림동 1665-11,서울 관악구 신림동 1665-11,42,200,8.0,19.8m²,반지하,37.4801295,126.9004865,북향(안방 기준),없음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 책상",공동현관,신림동,조원동,서울특별시 관악구 조원동
원룸,서울 서대문구,연희동 344-16,서울 서대문구 연희동 344-16,45,500,10.0,13.2m²,6층,37.56352082,126.9307917,북향(안방 기준),없음,중앙난방,있음,"신발장, 냉장고, 세탁기, 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 화재경보기",연희동,연희동,서울특별시 서대문구 연희동
원룸,서울 마포구,신수동 91-265,서울 마포구 신수동 91-265,70,1000,0.0,19.8m²,2층,37.54906277,126.9353739,남서향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거)","CCTV, 디지털도어락, 공동현관, 화재경보기",신수동,신수동,서울특별시 마포구 신수동
원룸,서울 관악구,신림동 1432-163,서울 관악구 신림동 1432-163,60,100,13.0,23.1m²,7층,37.48544194,126.9286678,남동향(안방 기준),없음,중앙난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 251-74,서울 관악구 신림동 251-74,32,100,10.0,13.2m²,2층,37.4666918,126.9399319,북향(안방 기준),있음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,대학동,서울특별시 관악구 대학동
원룸,서울 관악구,봉천동 1534-28,서울 관악구 봉천동 1534-28,43,0,10.0,19.8m²,반지하,37.48018646,126.940213,남향(거실 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",봉천동,청룡동,서울특별시 관악구 청룡동
원룸,서울 관악구,신림동 1448-9,서울 관악구 신림동 1448-9,50,0,10.0,19.8m²,1층,37.48931676,126.9232472,남동향(안방 기준),있음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거)","디지털도어락, 공동현관, 인터폰",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 461-28,서울 관악구 신림동 461-28,45,0,10.0,19.8m²,2층,37.48679018,126.9213797,남향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","디지털도어락, 공동현관, 인터폰",신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,봉천동 1563-4,서울 관악구 봉천동 1563-4,45,0,15.0,16.5m²,2층,37.47993144,126.9428662,동향(안방 기준),없음,중앙난방,있음,"냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","디지털도어락, 공동현관, 인터폰",봉천동,청룡동,서울특별시 관악구 청룡동
원룸,서울 관악구,신림동 1419-32,서울 관악구 신림동 1419-32,45,0,10.0,16.5m²,3층,37.48625754,126.9318832,동향(안방 기준),없음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","디지털도어락, 공동현관",신림동,신림동,서울특별시 관악구 신림동
